RunID,seed,log_inv_sq_dist_m,seed_x_m,seed_y_m
Run_9_1,10,-15.07589469292835,4.376620959956199e-05,9.577290795277804e-05
Run_9_1,11,-14.864991044381458,9.280598321929574e-05,8.765464858151973e-06
Run_9_1,12,-14.918340130200408,5.749911721795798e-06,2.9508688300848008e-05
Run_9_1,13,-15.471246856497842,8.595355430152267e-05,4.933696016669274e-05
Run_9_1,14,-15.765227251628476,7.072158127557486e-05,4.398153396323323e-05
Run_9_1,15,-15.042354911025035,3.262425542343408e-05,9.297670761588962e-05
Run_9_1,16,-14.876385682752241,9.949828304816038e-05,8.34900472080335e-05
Run_9_1,17,-15.351874041579844,2.4090671655721964e-05,3.267316077835858e-05
Run_9_1,18,-15.45026046068172,8.658810451161116e-05,5.424976095091552e-05
Run_9_1,19,-15.504378279779326,3.495979795698077e-05,7.131419985089452e-05
Run_9_1,20,-15.390017826786949,6.314748632721603e-05,1.6945554246194663e-05
Run_9_1,21,-15.309928574752876,5.798798857722432e-05,8.749833919573576e-05
Run_9_1,22,-15.27416135584667,3.256250005215407e-05,1.8536032270640136e-05
Run_9_1,23,-14.998726640927941,6.918091645929963e-05,9.84228674788028e-05
Run_9_1,24,-15.774871536505852,5.600150097161532e-05,6.623580693267287e-05
Run_9_1,25,-15.590345289528853,7.778158897999674e-05,6.208070025313646e-05
Run_9_1,26,-14.996173830663924,8.563385386951268e-05,9.029216775670648e-05
Run_9_1,27,-15.296783370801794,6.927258905488999e-05,8.545063454657794e-05
Run_9_1,28,-14.948145506596854,1.1040896992199124e-05,7.823508698493243e-05
Run_9_1,29,-15.240248703224236,9.32020207401365e-05,6.366756653878837e-05
Run_9_1,30,-14.832728551370165,9.61867363890633e-05,9.021755403373392e-05
Run_9_1,31,-14.878518215286116,5.360193573869765e-06,7.407832050230355e-05
Run_9_1,32,-15.846905115340805,4.422811588738114e-05,5.209229798056186e-05
Run_9_1,33,-15.386070810707341,5.382863164413721e-05,1.588163657579571e-05
Run_9_1,34,-15.861156701879118,4.690176183357835e-05,4.467371243517846e-05
Run_9_1,35,-15.202524794127777,3.949836569372565e-05,1.1389437643811108e-05
Run_9_1,36,-15.600967143148493,4.802357491571457e-05,7.411079418379813e-05
Run_9_1,37,-15.328412654920866,2.0543969585560263e-05,3.823561915196479e-05
Run_9_1,38,-15.417506842968658,8.612468771170825e-05,3.855625977739692e-05
Run_9_1,39,-14.785084297044751,1.0657397098839284e-06,2.588890697807074e-05
Run_9_1,40,-15.689609329963844,7.505080916453153e-05,5.635616360232234e-05
Run_9_1,41,-15.306085764676418,8.518202370032668e-05,2.7413160051219165e-05
Run_9_1,42,-15.381322590472923,8.968581254594029e-05,4.826247009914369e-05
Run_9_1,43,-15.884726442126937,5.898874017875642e-05,5.680493877734989e-05
Run_9_1,44,-15.564678610051525,2.864322566892952e-05,5.203416161239148e-05
Run_9_1,45,-15.143442934211963,9.74641462787986e-05,6.341330006252975e-05
Run_9_1,46,-14.898665761011058,8.522637654095889e-07,4.73439316265285e-05
Run_9_1,47,-15.305695395727646,8.989385452587157e-05,3.552555332425982e-05
Run_9_1,48,-15.203959168740068,6.78638382581994e-05,1.0328177781775594e-05
Run_9_1,49,-15.512113290733975,6.814525644294918e-05,7.609368008561432e-05
Run_9_1,50,-15.422426357517779,7.744684969075024e-05,7.427528200205416e-05
Run_9_1,51,-15.793073805082184,5.190303733106703e-05,3.555399712640792e-05
Run_9_1,52,-15.845464541189466,6.404174333438278e-05,5.722986257169396e-05
Run_9_1,53,-15.132641988365563,4.9184144544415176e-05,5.865588318556548e-06
Run_9_1,54,-15.01410907410809,5.691878309007734e-05,9.972642087377608e-05
Run_9_1,55,-15.817330251730686,6.587741700932383e-05,4.205064331181347e-05
Run_9_1,56,-14.568229103506237,1.351819233968854e-06,6.8213219521567225e-06
Run_9_1,57,-15.111355475055511,8.260864168405533e-05,1.3713224837556482e-05
Run_9_1,58,-15.287503252037466,5.4496871307492256e-05,1.1799407890066504e-05
Run_9_1,59,-15.277739491592035,6.311633917503059e-05,1.220145772676915e-05
Run_9_1,60,-15.229878428143193,1.780790346674621e-05,6.619336693547667e-05
Run_9_1,61,-14.598630922625933,4.855317529290915e-06,9.543177639134228e-05
Run_9_1,62,-15.896221760567512,4.909480104688555e-05,4.92758272215724e-05
Run_9_1,63,-15.61894333240057,4.438864726107568e-05,2.85394583363086e-05
Run_9_1,64,-14.708724089290131,9.504378193523736e-05,1.6663319431245329e-06
Run_9_1,65,-15.035716409037216,3.0274339532479645e-05,8.339409646578133e-06
Run_9_1,66,-15.878523382003296,6.282170750200749e-05,4.675982254557312e-05
Run_9_1,67,-15.222731008886077,1.448851062450558e-05,5.480177460703999e-05
Run_9_1,68,-14.672751909891435,1.193691552616656e-05,2.551623899489641e-06
Run_9_1,69,-15.705567130008278,5.040967892855406e-05,3.0806120671331884e-05
Run_9_1,70,-14.757091318772112,9.06167417531833e-05,9.934200674761088e-05
Run_9_1,71,-15.460721363236349,2.4334053322672844e-05,5.424986896105111e-05
Run_9_1,72,-15.266025181060575,8.34190774243325e-05,7.746513318270445e-05
Run_9_1,73,-15.08826701164828,8.766111708246173e-06,5.242606664542109e-05
Run_10_1,1,-15.165310147701604,6.107479089405388e-05,3.5270052030682567e-06
Run_10_1,2,-15.688825317946625,7.263296078890562e-05,4.941856337245554e-05
Run_10_1,3,-15.050144959651314,1.0072946781292558e-06,3.007755072321743e-05
Run_10_1,4,-15.441829899997131,3.1068833824247124e-05,7.793336547911167e-05
Run_10_1,5,-15.502794529476024,1.6535185463726523e-05,4.961392106488348e-05
Run_10_1,6,-15.509163081084983,5.1335738855414095e-05,7.980156175326556e-05
Run_10_1,7,-15.003519849772058,1.1673315055668355e-05,1.018722492735833e-05
Run_10_1,8,-15.395869252642406,4.157113637775183e-05,1.2016510916873814e-05
Run_10_1,9,-15.16482302239633,2.613441925495863e-06,4.524298815522343e-05
Run_10_1,10,-15.518995741721547,1.732578037772328e-05,4.494945399928839e-05
