RunID,seed,dist_m,centroid_x_m,centroid_y_m,seed_x_m,seed_y_m
Run_6_1,12,3.971863070617381e-06,1.08e-05,2.1e-05,8.126403554342688e-06,2.393727395683527e-05
Run_6_1,13,1.2124500314373584e-06,5.16e-05,7.5e-05,5.262237037532032e-05,7.565176214557141e-05
Run_6_1,14,2.37919116914315e-06,9.56e-05,6.26e-05,9.795332669746132e-05,6.294986293651165e-05
Run_6_1,15,6.269090272796399e-06,8.68e-05,9.28e-05,8.126748851500452e-05,8.985164291225374e-05
Run_6_1,16,7.922756470606955e-07,3.72e-05,6.98e-05,3.796370658092201e-05,7.00108387041837e-05
Run_6_1,17,6.259665357809505e-06,5.34e-05,4.68e-05,5.7595079648308456e-05,5.14459355501458e-05
Run_6_1,18,6.1048608029114054e-06,2.84e-05,4.7e-05,2.5887508434243507e-05,5.256387558765709e-05
Run_6_1,19,2.1470862951191006e-06,6.92e-05,6.38e-05,6.787291211076081e-05,6.211215602234006e-05
Run_6_1,20,4.784528947097206e-06,8.06e-05,3.9e-05,7.659976116847247e-05,4.1624844097532336e-05
Run_6_1,21,3.0420030223637697e-06,4.92e-05,6.06e-05,5.192756499163806e-05,6.194691187702119e-05
Run_6_1,22,5.715147765463861e-06,1.14e-05,9.52e-05,1.6985098854638638e-05,9.398773568682374e-05
Run_6_1,23,2.1463180327837137e-06,2.38e-05,8.98e-05,2.167100228834897e-05,9.007212100550533e-05
Run_6_1,24,1.795658233710801e-06,6.42e-05,7.78e-05,6.240805012639612e-05,7.768465641420334e-05
Run_6_1,25,5.469837903152426e-06,4.94e-05,1.04e-05,4.77993473643437e-05,1.5630395570769907e-05
Run_6_1,26,2.6511030344752584e-06,8.26e-05,6.5e-05,8.366424720734359e-05,6.257188855670393e-05
Run_6_1,27,2.4565037894315732e-06,4.6e-05,8.44e-05,4.698777126614005e-05,8.66491595748812e-05
Run_6_1,28,2.708742061350586e-06,1.9e-05,7.8e-05,1.630528310779482e-05,7.827528971247376e-05
Run_6_1,29,5.4128698323238e-06,2.8e-05,7.2e-06,3.21795906405896e-05,3.76049685291946e-06
Run_6_1,30,3.98764080759271e-06,9.3e-05,2.22e-05,9.36777056194842e-05,2.61296303011477e-05
Run_6_1,31,2.1254300698840895e-06,5.86e-05,9.32e-05,5.663776621222496e-05,9.401675672270358e-05
Run_6_1,32,2.618945057173566e-06,4.56e-05,9.76e-05,4.793568127788604e-05,9.87846797797829e-05
Run_6_1,33,1.3113560886305625e-06,8e-06,5e-05,7.970619155094028e-06,5.1311026909388614e-05
Run_6_1,34,2.593616485157411e-07,2.5e-05,6.3e-05,2.4929712316952647e-05,6.32496559759602e-05
Run_6_1,35,1.6097290437112362e-06,7.24e-05,2.82e-05,7.279538079164923e-05,2.6639582868665456e-05
Run_6_1,36,2.3678372194392124e-06,5.66e-05,2.7e-05,5.5260952655226e-05,2.504715456161648e-05
Run_6_1,37,2.5834989920674603e-06,7.56e-05,6.6e-06,7.340487220790237e-05,7.962307240813972e-06
Run_6_1,38,3.92418700460226e-06,9.26e-05,4.7e-05,9.073491422459483e-05,5.045263648498804e-05
Run_6_1,39,2.2977784160534456e-06,1.68e-05,6.92e-05,1.7920285905711352e-05,7.120617674663664e-05
Run_6_1,40,2.5970865672105162e-06,4.8e-06,7.74e-05,7.318587624467909e-06,7.803369946777822e-05
Run_6_1,41,5.254762020349873e-07,3.36e-05,8.96e-05,3.4075160790234807e-05,8.982438240200282e-05
Run_7_1,1,5.6814279560489345e-06,5.36e-05,3.74e-05,5.6171948881819846e-05,4.246593550778926e-05
Run_7_1,2,6.215977927353233e-06,5.44e-05,5.22e-05,5.757365229073912e-05,4.685525372624397e-05
Run_7_1,3,5.346926873838491e-06,9.2e-05,3.64e-05,9.64558250969276e-05,3.9355545584112405e-05
Run_7_1,4,8.672103641999562e-06,7.84e-05,3.98e-05,7.833443235140294e-05,4.8471855768002574e-05
Run_7_1,5,7.260829650361829e-06,8.66e-05,2.36e-05,9.349947348237038e-05,2.1337940567173066e-05
Run_7_1,6,4.0606788965924e-06,2.12e-05,5.54e-05,1.9374145707115533e-05,5.902703311294317e-05
Run_7_1,7,1.1397970096682422e-06,4.52e-05,1.84e-05,4.441008712165058e-05,1.922169025056064e-05
Run_7_1,8,3.559856681860144e-06,4.04e-05,6.14e-05,3.70297160698101e-05,6.0253803757950666e-05
Run_7_1,9,1.5290509194355283e-06,8.74e-05,9.62e-05,8.758292547427118e-05,9.771806949283927e-05
Run_7_1,10,1.2247009101607916e-06,8.36e-05,4.98e-05,8.30641778651625e-05,5.090126607101411e-05
Run_7_1,11,5.217711272855906e-07,5.5e-05,9.22e-05,5.515000382438302e-05,9.170025610364974e-05
Run_7_1,12,1.0078566090333535e-05,1.02e-05,9.22e-05,3.7503547500818976e-06,9.994464786723256e-05
Run_7_1,13,5.184259854341864e-06,5e-06,7.12e-05,1.9896893994882704e-06,6.697926779743284e-05
Run_7_1,14,6.9032599885612455e-06,3.22e-05,5.14e-05,3.343203926924616e-05,5.819242796860636e-05
Run_7_1,15,7.75606804292846e-06,3.18e-05,8.6e-05,3.933061487041414e-05,8.785645661409944e-05
Run_7_1,16,3.2037437446308665e-06,9.6e-06,5.38e-05,1.234391313046217e-05,5.545375775545837e-05
Run_7_1,17,4.081706457799932e-06,8.32e-05,6.54e-05,8.227234710939228e-05,6.142510531935841e-05
Run_7_1,18,7.162294986733626e-06,3.44e-05,2.7e-05,4.125463585369289e-05,2.4923359253443775e-05
Run_7_1,19,5.690071628844532e-06,6.58e-05,4.16e-05,6.186585461255163e-05,4.571088983211666e-05
Run_7_1,20,1.2605297899002872e-06,4.9e-05,9.12e-05,5.021203951910138e-05,9.085374062415211e-05
Run_7_1,21,2.8785769899699e-06,7.12e-05,4.96e-05,7.406301761511714e-05,4.930110934656114e-05
Run_7_1,22,2.1970428629885223e-06,6.66e-05,9.8e-05,6.564634842798114e-05,9.997927916701883e-05
Run_7_1,23,1.1648227080831457e-05,1.1e-05,2.84e-05,1.079933843575418e-05,4.004649857524783e-05
Run_7_1,24,3.376861598763926e-06,7.22e-05,7.9e-05,7.007725753355771e-05,8.162624421529472e-05
Run_7_1,25,3.548268684300167e-06,6.06e-05,6.8e-05,6.009645122103393e-05,7.151235665660352e-05
Run_7_1,26,4.610074611461007e-06,9.16e-05,8.3e-05,9.127357006073e-05,8.75985031714663e-05
Run_7_1,27,6.147053923136034e-06,6.36e-05,1.24e-05,5.7611367688514294e-05,1.101343771442771e-05
Run_7_1,28,4.903061296761369e-06,3.68e-05,9.64e-05,4.159270671661944e-05,9.536560529377312e-05
Run_7_1,29,1.2917907715171762e-06,6.08e-05,9.12e-05,6.025755689479411e-05,9.237238171044738e-05
Run_7_1,30,4.487208163202293e-06,4.44e-05,7.34e-05,4.751252778805792e-05,7.663221408147365e-05
Run_7_1,31,6.777491968505845e-06,1.98e-05,7.3e-05,1.940969107672572e-05,6.623375611379743e-05
Run_7_1,32,4.4227761765975015e-06,9.34e-05,5.56e-05,9.082669119816274e-05,5.200291355140507e-05
Run_7_1,33,2.4620955187498615e-06,7.32e-05,9.12e-05,7.078938530758024e-05,9.069914957508444e-05
Run_7_1,34,1.3510928489418506e-05,2.94e-05,5.8e-06,4.2883348255418246e-05,4.937150957994163e-06
Run_7_1,35,1.9569231288688723e-06,5.22e-05,8.08e-05,5.048135404940695e-05,7.986415587365627e-05
Run_7_1,36,1.7145880211749673e-06,9.64e-05,4.64e-05,9.758880899753422e-05,4.5164465601556e-05
Run_7_1,37,7.085761153362878e-06,8.8e-05,8.2e-06,9.39031564630568e-05,1.211927989497781e-05
Run_8_1,1,2.55680507785103e-06,2.7e-05,9.3e-05,2.785588996484876e-05,9.540929545182736e-05
Run_8_1,2,6.800779150003755e-07,3.4e-06,1.1e-05,3.1843656674027443e-06,1.0355013329535722e-05
Run_8_1,3,6.930588661935172e-07,2.98e-05,6.22e-05,3.0339261190965773e-05,6.176465190947057e-05
Run_8_1,4,1.4010431318625054e-06,4.5e-05,3.1e-05,4.58177161635831e-05,3.213765642140061e-05
Run_8_1,5,2.0035513610679386e-06,5.62e-05,2.84e-05,5.493144958745688e-05,2.9950805567204952e-05
Run_8_1,6,1.691176664743312e-06,3.9e-05,3.9e-05,3.763399312738329e-05,3.800295249093324e-05
Run_8_1,7,3.7524116301478275e-06,4.02e-05,7.08e-05,4.042486813850701e-05,6.705433218739928e-05
Run_8_1,8,2.0023461615774583e-06,5.34e-05,3.2e-06,5.2253004210069775e-05,1.5587228117510678e-06
Run_8_1,9,2.2587375864788182e-06,8.88e-05,2.34e-05,8.714274596422911e-05,2.4934732727706437e-05
Run_8_1,10,2.8588799656160737e-06,3.02e-05,3.28e-05,3.160545169375837e-05,3.528955823276192e-05
Run_8_1,11,2.8609000384743905e-06,3.7e-05,1.12e-05,3.857229750137776e-05,1.359011079184711e-05
Run_8_1,12,1.388920176682573e-06,6.34e-05,4.96e-05,6.39621212380007e-05,5.087008620612323e-05
Run_8_1,13,9.5556113391761e-07,4.46e-05,5.14e-05,4.505504115950316e-05,5.224025866482407e-05
Run_8_1,14,2.405337315770142e-06,9.6e-05,7e-06,9.81697264360264e-05,8.038236387073995e-06
Run_8_1,15,2.3173757397308952e-06,9.26e-05,6.78e-05,9.20998091576621e-05,7.006275041494518e-05
Run_8_1,16,4.94668465508767e-06,4.34e-05,8.6e-05,4.601203079801053e-05,9.020083136856555e-05
Run_8_1,17,2.6384431238743915e-06,2.54e-05,8.32e-05,2.4163748510181905e-05,8.086910652928054e-05
Run_8_1,18,2.73026886286786e-06,7.8e-06,2.38e-05,1.0398457851260902e-05,2.296191595960409e-05
Run_8_1,19,2.190290718214947e-06,3.98e-05,9.56e-05,4.084239040967077e-05,9.752634256146848e-05
Run_8_1,20,4.979552030854081e-06,8.98e-05,9.08e-05,9.343588056508452e-05,8.739760217722505e-05
Run_8_1,21,1.4977676062497204e-06,9.62e-05,3.22e-05,9.74282804178074e-05,3.305710852146149e-05
Run_8_1,22,5.26950885634389e-07,5.14e-05,9.3e-05,5.1175545901060105e-05,9.25232426263392e-05
Run_8_1,23,4.1021885182465e-06,1.9e-05,4.3e-05,2.3101797257550063e-05,4.305665595456958e-05
Run_8_1,24,8.805171524773792e-07,5.32e-05,6.3e-05,5.263519820291549e-05,6.36755067622289e-05
Run_8_1,25,1.8593252169329095e-06,9.32e-05,5.34e-05,9.1783739766106e-05,5.219530202448368e-05
Run_8_1,26,4.747998730119937e-06,4.8e-06,4.88e-05,1.6953004756942392e-06,5.23922601249069e-05
Run_8_1,27,1.412547670076968e-07,3e-05,5.16e-05,2.9861687030643226e-05,5.157132192980498e-05
Run_8_1,28,1.0187471987077583e-06,3.12e-05,4.26e-05,3.049662138801068e-05,4.186304383911193e-05
Run_8_1,29,2.5554581774134988e-06,1.58e-05,7.58e-05,1.780793066136539e-05,7.738069002516568e-05
Run_8_1,30,8.856888232986061e-07,9.04e-05,1.48e-05,8.95752119133249e-05,1.4477247302420437e-05
